Asthenia, 2, 4.1264385021070735
Fever, 7, 4.332563425983078
Fever of Unknown Origin, 3, 4.419464750013133
Body Weight, 14, 4.80182986002671
Birth Weight, 8, 11.2570475440376
Fetal Macrosomia, 1, 3.3367181180280827
Weight Loss, 1, 1.0000537113811745
Obesity, 16, 13.32085842617069
Obesity, Morbid, 1, 1.7529399523745601
Thinness, 1, 2.670599609856057
Cardiac Output, Low, 1, 2.1427956495556484
Edema, 8, 4.7670247528230565
Fatigue, 1, 1.1380131555214292
Feminization, 3, 11.2871578003613
Fetal Distress, 3, 7.765354914741174
Neurologic Manifestations, 2, 0.13988282635066876
Dystonia, 1, 1.5361090335230454
Myoclonus, 2, 3.550141738860662
Delirium, 1, 2.083955149532715
Consciousness Disorders, 1, 0.8771292762243725
Unconsciousness, 1, 0.9279728292056466
Coma, 3, 3.9362544385297262
Mental Retardation, 3, 2.716340052218143
Muscle Spasticity, 2, 3.4545604111879653
Tetany, 1, 2.3812066730006465
Pain, 9, 2.964480377676661
Back Pain, 5, 5.734642595896908
Low Back Pain, 1, 1.5904210228767852
Paralysis, 4, 1.9378855099313934
Ophthalmoplegia, 1, 1.3298472691830825
Quadriplegia, 2, 2.7382793389872804
Vocal Cord Paralysis, 1, 1.9877795434519612
Seizures, 5, 4.225834627607069
Hearing Disorders, 1, 0.7350165749565932
Deafness, 1, 1.2285271630622612
Hearing Loss, Conductive, 1, 2.2674202170287483
Vision Disorders, 2, 1.3269788637358182
Oral Manifestations, 1, 1.8657762828479076
Abdominal Pain, 19, 16.12118988480075
Abdomen, Acute, 11, 15.813601435274814
Chest Pain, 1, 1.0995608303564925
Angina Pectoris, 1, 1.4526833726908572
Flank Pain, 2, 6.297712761717026
Pain, Postoperative, 1, 1.6778553222664596
Reticulocytosis, 1, 5.169299581776393
Anorexia, 1, 1.8252606139541863
Diarrhea, 3, 2.7695643932469314
Nausea, 1, 1.1387530741641398
Vomiting, 10, 8.435126654253875
Anoxia, 4, 4.0079542868298805
Fetal Hypoxia, 1, 2.7342253057362687
Dyspnea, 1, 1.005221681539617
Hemoptysis, 1, 1.6970743635369168
Jaundice, 1, 1.45471177095225
Purpura, 3, 3.1896558177874015
Purpura, Schoenlein-Henoch, 2, 3.9964288414890814
Waterhouse-Friderichsen Syndrome, 12, 44.20697181614726
Proteinuria, 1, 1.2489777735335519
Virilism, 26, 57.9034558225081
Hirsutism, 31, 76.99538933231348
