Consciousness Disorders, 1, 0.8771292762243725
Pain, 2, 0.6587734172614802
Back Pain, 2, 2.2938570383587633
Low Back Pain, 4, 6.361684091507141
Facial Pain, 2, 3.9446571845924847
Headache, 4, 3.5382570188475624
Neck Pain, 1, 1.9587920065787088
Facial Paralysis, 1, 1.3570969116304579
Seizures, 1, 0.8451669255214139
Hearing Loss, 1, 0.8035505446228293
Deafness, 1, 1.2285271630622612
Hearing Loss, Conductive, 2, 4.534840434057497
Tinnitus, 1, 1.974033622547326
Vision Disorders, 1, 0.6634894318679091
Blindness, 1, 1.0981383550099497
Diplopia, 1, 1.6441652988834758
Cafe-au-Lait Spots, 1, 3.303928295205092
