Hyperkinesis, 1, 2.341000252522606
Apraxias, 1, 2.3837740685058924
Catatonia, 3, 8.105719543443303
Language Disorders, 4, 4.310946650064676
Agraphia, 1, 3.3501411383602235
Dyslexia, 1, 2.677472489143819
Language Development Disorders, 4, 9.946268754633891
Speech Disorders, 5, 5.764582805120021
Aphasia, 11, 19.917279959863368
Echolalia, 70, 313.33066808515133
Mutism, 1, 2.922403394642936
Stuttering, 1, 3.3234728912780622
Confusion, 1, 1.508948211276995
Mental Retardation, 5, 4.527233420363571
Deafness, 1, 1.2285271630622612
Blindness, 2, 2.1962767100198994
