Hypothermia, 1, 1.9454362153971532
Body Weight, 5, 1.714939235723825
Weight Loss, 1, 1.0000537113811745
Edema, 2, 1.1917561882057641
Eye Manifestations, 1, 1.507876973895496
Heart Murmurs, 1, 2.3634171314371484
Hypergammaglobulinemia, 6, 10.074750982241614
Neurologic Manifestations, 1, 0.06994141317533438
Chorea, 1, 1.9929833713269882
Myoclonus, 2, 3.550141738860662
Aphasia, 1, 1.8106618145330335
Syncope, 3, 4.4726742825892565
Memory Disorders, 1, 1.4679976076638996
Amnesia, 1, 2.1714861420185776
Fasciculation, 5, 15.371769267802959
Muscle Rigidity, 1, 2.4019328035177634
Muscle Spasticity, 1, 1.7272802055939827
Muscle Hypotonia, 1, 1.6565111347057753
Muscle Weakness, 7, 6.950937571920035
Muscular Atrophy, 3, 4.382465308781485
Myotonia, 1, 3.0540485873998464
Spasm, 1, 1.3672774715625755
Pain, 2, 0.6587734172614802
Back Pain, 2, 2.2938570383587633
Facial Pain, 1, 1.9723285922962424
Hemiplegia, 1, 1.294632362892016
Ophthalmoplegia, 2, 2.659694538366165
Paraplegia, 2, 2.554958567331533
Quadriplegia, 1, 1.3691396694936402
Respiratory Paralysis, 1, 2.4894202576408793
Vocal Cord Paralysis, 1, 1.9877795434519612
Paresis, 1, 1.2877357838329555
Reflex, Abnormal, 2, 2.8142618860094
Seizures, 1, 0.8451669255214139
Dizziness, 1, 1.3424714224114789
Hearing Loss, Sensorineural, 1, 1.2148558604642947
Hypesthesia, 1, 1.7219610441163826
Dysgeusia, 1, 3.472156088923187
Vision Disorders, 2, 1.3269788637358182
Diplopia, 1, 1.6441652988834758
Vertigo, 1, 1.5962519431875786
Hoarseness, 2, 4.432253845282395
Chest Pain, 11, 12.095169133921418
Constipation, 1, 1.593915493526559
Diarrhea, 11, 10.155069441905415
Anoxia, 1, 1.0019885717074701
Cough, 5, 6.573645755481662
Dyspnea, 11, 11.057438496935788
Hemoptysis, 2, 3.3941487270738335
Hypercapnia, 1, 2.1109838219206343
Respiratory Sounds, 1, 1.6392693282712694
Jaundice, 2, 2.9094235419045
Pruritus, 1, 1.4659421084818036
Purpura, 1, 1.0632186059291338
Purpura, Thrombocytopenic, 5, 7.074527602759151
Purpura, Thrombocytopenic, Idiopathic, 4, 7.7355778198279275
Purpura, Thrombotic Thrombocytopenic, 2, 4.368077216179395
Proteinuria, 2, 2.4979555470671038
Virilism, 1, 2.2270559931733884
Hirsutism, 1, 2.4837222365262415
