Fatigue, 1, 1.1380131555214292
Ataxia, 3, 3.6589791383308206
Cerebellar Ataxia, 2, 3.4175712459156364
Dystonia, 1, 1.5361090335230454
Catatonia, 1, 2.701906514481101
Memory Disorders, 1, 1.4679976076638996
Muscle Spasticity, 1, 1.7272802055939827
Quadriplegia, 1, 1.3691396694936402
Paraparesis, 1, 2.2358860726216605
Seizures, 2, 1.6903338510428279
Hearing Loss, 1, 0.8035505446228293
Hearing Loss, Sensorineural, 2, 2.4297117209285894
Hypesthesia, 1, 1.7219610441163826
Vision Disorders, 1, 0.6634894318679091
Anoxia, 2, 2.0039771434149403
