Asthenia, 3, 0.07972670246550428
Body Weight, 14, 0.06185060237697924
Birth Weight, 2, 0.036249471132924906
Weight Gain, 5, 0.09574751572724131
Weight Loss, 11, 0.14169455996449412
Fetal Weight, 1, 0.046069753712264704
Obesity, 22, 0.23592397482815725
Obesity, Morbid, 1, 0.02257897408810664
Edema, 1, 0.007675286325805922
Fatigue, 31, 0.4544081815151215
Mental Fatigue, 1, 0.04617937677221226
Fetal Distress, 1, 0.03334089247559653
Hot Flashes, 10, 0.43867709261617027
Mobility Limitation, 2, 0.07120045137321226
Motion Sickness, 2, 0.09004394096439683
Cerebrospinal Fluid Rhinorrhea, 1, 0.03448753727821877
Dyskinesias, 1, 0.009634095327354774
Ataxia, 5, 0.07854993838720434
Cerebellar Ataxia, 2, 0.04402047685732659
Chorea, 3, 0.07701265494849796
Dystonia, 2, 0.03957210972051861
Hyperkinesis, 2, 0.06030712457703709
Hypokinesia, 4, 0.14834846583229402
Myoclonus, 2, 0.04572806856404676
Psychomotor Agitation, 15, 0.433283879348691
Akathisia, Drug-Induced, 5, 0.2003525246511225
Tremor, 8, 0.1792317024923603
Gait Disorders, Neurologic, 1, 0.022473682233706417
Apraxias, 1, 0.030704516062735276
Catatonia, 4, 0.13920905184758953
Communication Disorders, 4, 0.05093117809074679
Language Disorders, 11, 0.15270122035937855
Agraphia, 1, 0.04315193446989939
Dyslexia, 1, 0.03448753727821877
Language Development Disorders, 2, 0.06405711278929105
Speech Disorders, 6, 0.08910176228859555
Aphasia, 8, 0.18657974512947767
Aphasia, Broca, 1, 0.040070504930224494
Aphasia, Wernicke, 1, 0.045021970482198415
Dysarthria, 2, 0.052207393415649284
Mutism, 3, 0.11292720626269075
Stuttering, 1, 0.04280843059857301
Learning Disorders, 20, 0.44703839567982717
Confusion, 3, 0.05830861892884413
Delirium, 7, 0.1878986127324855
Consciousness Disorders, 1, 0.011297979245074603
Coma, 1, 0.01690048136015989
Lethargy, 1, 0.045021970482198415
Memory Disorders, 47, 0.8887106231433956
Amnesia, 3, 0.08391034034035805
Amnesia, Retrograde, 1, 0.04377603177996203
Mental Retardation, 39, 0.45484628861113935
Perceptual Disorders, 6, 0.10711976749911621
Agnosia, 1, 0.03266801832903438
Prosopagnosia, 2, 0.1083059857667175
Hallucinations, 16, 0.35515264930775325
Illusions, 1, 0.03979932371828382
Phantom Limb, 2, 0.08319238388537305
Psychomotor Disorders, 14, 0.24013328217973362
Muscle Hypotonia, 1, 0.021336909993132428
Muscle Weakness, 3, 0.038371057502200996
Spasm, 1, 0.017611397674999668
Pain, 59, 0.2503198258416514
Back Pain, 2, 0.02954632790516528
Low Back Pain, 7, 0.14339939318086423
Facial Pain, 4, 0.10161935351718898
Headache, 16, 0.1822999434462088
Neuralgia, 1, 0.01981445758796776
Pain, Intractable, 3, 0.07701265494849796
Ophthalmoplegia, Chronic Progressive External, 1, 0.04697402891878889
Pseudobulbar Palsy, 5, 0.26776892845396544
Paresis, 3, 0.04976055144862012
Psychophysiologic Disorders, 43, 0.821111196027127
Reflex, Abnormal, 2, 0.036249471132924906
Seizures, 9, 0.0979765557688406
Sensation Disorders, 1, 0.004422203036634538
Dizziness, 4, 0.06916752035822298
Hearing Disorders, 1, 0.009467477866422474
Deafness, 2, 0.03164841207908169
Tinnitus, 2, 0.050853600492327074
Olfaction Disorders, 3, 0.08842155265549616
Somatosensory Disorders, 3, 0.040401302233236874
Hyperalgesia, 2, 0.06167530078633976
Hypesthesia, 1, 0.022179946177372047
Vision Disorders, 3, 0.025638489218500735
Blindness, 2, 0.028289431625239905
Sleep Disorders, 52, 1.0
Sleep Deprivation, 21, 0.6967669324329616
Vertigo, 2, 0.041121467069650065
Voice Disorders, 1, 0.0214494053090394
Abdominal Pain, 4, 0.04371602337460598
Arthralgia, 1, 0.019028557357336197
Chest Pain, 5, 0.07081519096899264
Pain, Postoperative, 1, 0.02161183661409942
Dysmenorrhea, 1, 0.03555189305279743
Anorexia, 1, 0.023510509901201165
Constipation, 4, 0.08212255434812048
Hyperphagia, 14, 0.43266632036270447
Bulimia, 12, 0.4272027082392736
Nausea, 3, 0.0440035771667036
Vomiting, 3, 0.032594928177368636
Hyperemesis Gravidarum, 1, 0.03703288213880521
Anoxia, 1, 0.012906245856576716
Fetal Hypoxia, 1, 0.03521854941216675
Apnea, 1, 0.02417119993984241
Dyspnea, 3, 0.038843671061647815
Hyperventilation, 1, 0.02711540630319267
Respiratory Sounds, 1, 0.021114824632941107
Hirsutism, 2, 0.06398382322750254
