Fever, 3, 0.08009300043945983
Weight Gain, 1, 0.06412786245470249
Fatigue, 1, 0.04908781510507649
Ataxia, 1, 0.052609611920059876
Cerebellar Ataxia, 1, 0.07370789371545787
Myoclonus, 6, 0.459402513306162
Mental Retardation, 3, 0.11716841549577955
Psychomotor Disorders, 1, 0.057439886759369056
Headache, 1, 0.03815538192435196
Hemiplegia, 1, 0.05584353199289082
Seizures, 13, 0.47392788776756695
Photophobia, 1, 0.12311892506670156
Sleep Disorders, 1, 0.06440000634805117
Sleep Deprivation, 9, 1.0
Nausea, 1, 0.049119731247126305
