Fever, 2, 0.01263164993807613
Body Weight, 32, 0.11199842290187936
Birth Weight, 14, 0.20102299801111964
Weight Gain, 6, 0.09102376422712083
Obesity, 3, 0.025486880422828713
Cyanosis, 2, 0.03558054714987393
Eye Manifestations, 1, 0.015386828244445304
Heart Murmurs, 1, 0.02411701624268144
Torticollis, 1, 0.021990172785438477
Tics, 1, 0.03798428646790722
Tremor, 1, 0.017748876765644163
Apraxias, 1, 0.02432474452534799
Communication Disorders, 6, 0.06052307873381533
Language Disorders, 9, 0.09897792913723852
Anomia, 2, 0.0697994438389305
Dyslexia, 5, 0.1366086558548994
Language Development Disorders, 17, 0.4313524972613697
Speech Disorders, 85, 1.0
Aphasia, 1, 0.01847653544109782
Articulation Disorders, 38, 0.7318835890193551
Mutism, 1, 0.029821079486469556
Stuttering, 1, 0.03391371274876282
Learning Disorders, 11, 0.19478411938307177
Memory Disorders, 1, 0.014979887247715531
Mental Retardation, 49, 0.4527330079459468
Perceptual Disorders, 2, 0.028287488966409223
Psychomotor Disorders, 5, 0.06794231749772404
Trismus, 1, 0.026510366267336646
Facial Pain, 2, 0.04025246331982803
Headache, 1, 0.009026358578356352
Hearing Disorders, 30, 0.22500987795695404
Hearing Loss, 14, 0.11479538584278691
Deafness, 11, 0.13789885021669696
Hearing Loss, Bilateral, 2, 0.04513950498016797
Hearing Loss, Conductive, 8, 0.1850994798190861
Hearing Loss, Sensorineural, 4, 0.049587012177606006
Somatosensory Disorders, 2, 0.0213378243406042
Amblyopia, 1, 0.026159009822753727
Sleep Disorders, 1, 0.015235008023204532
Voice Disorders, 12, 0.20391188187313702
Oral Manifestations, 1, 0.019038939982334396
Constipation, 1, 0.016264791066935656
Gagging, 1, 0.03808482225153308
Halitosis, 3, 0.0992288921690646
Nausea, 2, 0.02324035484106021
Vomiting, 3, 0.025822367599495306
Hyperemesis Gravidarum, 1, 0.029338205338368433
Anoxia, 4, 0.040898365908274475
Fetal Hypoxia, 1, 0.027900853908719256
Apnea, 1, 0.019148918100726962
Cough, 1, 0.013415890013641562
Mouth Breathing, 6, 0.19772011521025448
Respiratory Aspiration, 1, 0.03398106810549586
Jaundice, 1, 0.014844314590857607
Hirsutism, 2, 0.050689291131767684
